Date,Price,Unemployment,Income,Population,Interest
1/31/20,310000,2.7,83768,2053000,3.62 
2/29/20,325000,2.6,83768,2053000,3.47 
3/31/20,335000,3.8,83768,2053000,3.45 
4/30/20,330000,11.8,83768,2053000,3.31 
5/31/20,332250,10.4,83768,2053000,3.23 
6/30/20,345000,8.7,83768,2053000,3.16 
7/31/20,357250,7.8,83768,2053000,3.02 
8/31/20,355000,5.5,83768,2053000,2.94 
9/30/20,360000,6.2,83768,2053000,2.89 
10/31/20,370000,5.2,83768,2053000,2.83 
11/30/20,367625,5.1,83768,2053000,2.77 
12/31/20,375000,4.9,83768,2053000,2.68 
1/31/21,370500,5.4,86679,2117000,2.74 
2/28/21,400000,5.6,86679,2117000,2.81 
3/31/21,435000,5.3,86679,2117000,3.08 
4/30/21,477921,4.5,86679,2117000,3.06 
5/31/21,487479,4.5,86679,2117000,2.96 
6/30/21,497229,4.5,86679,2117000,2.96 
7/31/21,507174,4.5,86679,2117000,2.96 
8/31/21,517317,4.5,86679,2117000,2.96 
9/30/21,527663,4.5,86679,2117000,2.96 
10/31/21,538217,4.5,86679,2117000,2.96 
11/30/21,548981,4.5,86679,2117000,2.96 
12/31/21,559961,4.5,86679,2117000,2.96 
1/31/22,571160,4.5,89692,2177123,2.96 
2/28/22,582583,4.5,89692,2177123,2.96 
3/31/22,594235,4.5,89692,2177123,2.96 
4/30/22,606119,4.5,89692,2177123,2.96 
5/31/22,618242,4.5,89692,2177123,2.96 
6/30/22,630607,4.5,89692,2177123,2.96 
7/31/22,643219,4.5,89692,2177123,2.96 
8/31/22,656083,4.5,89692,2177123,2.96 
9/30/22,669205,4.5,89692,2177123,2.96 
10/31/22,682589,4.5,89692,2177123,2.96 
11/30/22,696241,4.5,89692,2177123,2.96 
12/31/22,710165,4.5,89692,2177123,2.96 
