Date,Price,Unemployment,Income,Population,Interest
1/31/20,310000,2.7,83768,2053000,3.62 
2/29/20,310000,2.6,83768,2053000,3.47 
3/31/20,310000,3.8,83768,2053000,3.45 
4/30/20,310000,11.8,83768,2053000,3.31 
5/31/20,310000,10.4,83768,2053000,3.23 
6/30/20,310000,8.7,83768,2053000,3.16 
7/31/20,310000,7.8,83768,2053000,3.02 
8/31/20,310000,5.5,83768,2053000,2.94 
9/30/20,310000,6.2,83768,2053000,2.89 
10/31/20,310000,5.2,83768,2053000,2.83 
11/30/20,310000,5.1,83768,2053000,2.77 
12/31/20,310000,4.9,83768,2053000,2.68 
1/31/21,310000,5.4,86679,2117000,2.74 
2/28/21,310000,5.6,86679,2117000,2.81 
3/31/21,310000,5.3,86679,2117000,3.08 
4/30/21,310000,4.5,86679,2117000,3.06 
5/31/21,310000,4.5,86679,2117000,2.96 
6/30/21,310000,4.5,86679,2117000,2.96 
7/31/21,310000,4.5,86679,2117000,2.96 
8/31/21,310000,4.5,86679,2117000,2.96 
9/30/21,310000,4.5,86679,2117000,2.96 
10/31/21,310000,4.5,86679,2117000,2.96 
11/30/21,310000,4.5,86679,2117000,2.96 
12/31/21,310000,4.5,86679,2117000,2.96 
1/31/22,310000,4.5,89692,2177123,2.96 
2/28/22,310000,4.5,89692,2238953,2.96 
3/31/22,310000,4.5,89692,2302539,2.96 
4/30/22,310000,4.5,89692,2367931,2.96 
5/31/22,310000,4.5,89692,2435181,2.96 
6/30/22,310000,4.5,89692,2504340,2.96 
7/31/22,310000,4.5,89692,2575463,2.96 
8/31/22,310000,4.5,89692,2648606,2.96 
9/30/22,310000,4.5,89692,2723827,2.96 
10/31/22,310000,4.5,89692,2801183,2.96 
11/30/22,310000,4.5,89692,2880737,2.96 
12/31/22,310000,4.5,89692,2962550,2.96 
